Ejercicios,Nivel,Equipo,Instrucciones,Consejo Pro,Repeticiones/Tiempo,imagenPortadaEjercicio,Musculos,Ejercicio ID,Link Webhook,Reps_Unicas,Carga unica
Salto al Cajón (en silla firme),Pino,Silla firme y estable,De pie frente a una silla estable. Flexiona rodillas y salta aterrizando con ambos pies sobre la silla. Baja con cuidado paso a paso.,Asegúrate de que la silla sea muy estable. Aterriza suave con las rodillas flexionadas. Baja caminando no saltando.,4 series de 6-8 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/WB4HPPUMgck2NLrV4CXI.jpeg,"Cuádriceps, Glúteos, Pantorrillas",EJ045,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Salto al Cajón (en silla firme)&prevReps=&prevKgs=,,
Sentadilla Búlgara,Pino,Silla o superficie elevada,Coloca el empeine de un pie sobre una silla detrás de ti. Baja flexionando la rodilla delantera hasta que el muslo quede paralelo al suelo. Sube con fuerza.,Mantén el torso erguido. Puedes inclinar ligeramente el torso para más activación de glúteo.,4 series de 8-10 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/VlWpuoRi8pVUkgernE25.png,"Cuádriceps, Glúteos, Isquiotibiales",EJ046,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Búlgara&prevReps=&prevKgs=,,
Sentadilla Búlgara Asistida,Semilla,Silla o superficie elevada,Coloca el empeine de un pie sobre una silla detrás de ti. Baja flexionando la rodilla delantera hasta que el muslo quede paralelo al suelo. Apóyate en la pared si necesitas equilibrio.,Mantén el torso erguido y la rodilla delantera alineada con el pie. La pierna trasera solo sirve de apoyo.,3 series de 8 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/ibt41CsDINyfHlkyDFGb.jpeg,"Cuádriceps, Glúteos",EJ047,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Búlgara Asistida&prevReps=&prevKgs=,,
Sentadilla Cosaca,Pino,N/A,Pies muy abiertos. Baja hacia un lado flexionando una rodilla mientras la otra pierna se extiende recta con el pie apuntando arriba. Sube y alterna.,Mantén el talón pegado al suelo y el torso erguido. Si puedes baja hasta que el glúteo toque el talón.,4 series de 6-8 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/g4jWpM2c386PH9Kryit6.jpeg,"Aductores, Cuádriceps, Glúteos",EJ048,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Cosaca&prevReps=&prevKgs=,,
Sentadilla Cosaca Asistida,Semilla,Muro o poste para sujetarse,Pies muy abiertos. Baja hacia un lado flexionando una rodilla mientras la otra pierna se extiende recta. Sujétate de la pared o un poste para mantener el equilibrio.,Mantén el talón de la pierna que se flexiona pegado al suelo. Ve bajando más conforme ganes flexibilidad.,3 series de 6-8 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/a75HdvxFmHjAVEAUStxP.jpeg,"Aductores, Cuádriceps, Glúteos",EJ049,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Cosaca Asistida&prevReps=&prevKgs=,,
Sentadilla Normal,Semilla,N/A,"Pies a la anchura de los hombros. Baja la cadera como si fueras a sentarte en una silla, manteniendo la espalda recta y el peso en los talones. Sube con fuerza.",Mantén la mirada al frente y asegúrate de que tus rodillas no se cierren hacia adentro al subir y vayan en direncion a tus pies,4 series de 8-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/WQb6lN9Qd7zdHTa521H7.png,Piernas (Cuádriceps) y Glúteos,EJ050,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Normal&prevReps=12-12-12-12&prevKgs=0-0-0-0,12-12-12-12,0-0-0-0
Sentadilla Sissy Asistida,Pino,Muro o poste para sujetarse,De pie sujetándote de la pared. Inclínate hacia atrás flexionando las rodillas mientras te pones de puntillas. Baja las rodillas hacia adelante y sube con control.,Mantén la cadera extendida (no te sientes). Siente el estiramiento profundo en los cuádriceps.,4 series de 6-8 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/TnF5H9grEHx6WqKZnZKN.jpeg,"Cuádriceps, Recto femoral",EJ051,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Sissy Asistida&prevReps=&prevKgs=,,
Sentadilla Sumo,Semilla,N/A,Pies más abiertos que los hombros con las puntas hacia afuera. Baja la cadera manteniendo la espalda recta y las rodillas en dirección a los pies. Sube apretando glúteos.,Saca pecho y mantén el peso distribuido en toda la planta del pie. Baja hasta que los muslos queden paralelos al suelo.,3 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/bO16FzVhA7Cz0s07wg8h.jpeg,"Aductores, Glúteos, Cuádriceps",EJ052,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Sumo&prevReps=12-12-12&prevKgs=0-0-0,12-12-12,0-0-0
Sentadilla con Pausa,Semilla,N/A,Realiza una sentadilla normal pero mantén la posición baja durante 3 segundos antes de subir. Mantén la espalda recta y el abdomen apretado.,La pausa elimina el impulso y obliga al músculo a trabajar más. No rebotes al subir.,3 series de 8-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/0Fr9RjYH7tjH7OcQXb3r.png,"Cuádriceps, Glúteos",EJ053,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla con Pausa&prevReps=&prevKgs=,,
Sentadilla con Salto,Pino,N/A,Realiza una sentadilla normal y al subir explota saltando lo más alto posible. Aterriza suave con las rodillas ligeramente flexionadas y repite.,Aterriza siempre con la punta de los pies primero y luego los talones. Amortigua bien cada salto.,4 series de 8-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/vlY5EaFW7HAEEJtPSuKr.png,"Cuádriceps, Glúteos, Pantorrillas",EJ054,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla con Salto&prevReps=&prevKgs=,,
Step-Up (en silla baja),Semilla,Silla baja o escalón,Coloca un pie sobre la silla y empuja con esa pierna para subir todo el cuerpo. Baja con control con la otra pierna.,Empuja solo con la pierna de arriba sin impulsarte con la de abajo. Mantén el torso erguido.,3 series de 10 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/KdKJ5SfDXor31fUtqbmr.jpeg,"Cuádriceps, Glúteos",EJ055,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Step-Up (en silla baja)&prevReps=&prevKgs=,,
Step-Up Alto (en silla),Pino,Silla firme,Coloca un pie sobre una silla firme y alta. Empuja con esa pierna para subir todo el cuerpo sin impulsarte con la pierna de abajo. Baja con control.,La silla debe ser estable. Empuja solo con la pierna de arriba. Mantén el torso recto.,4 series de 8-10 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/snFVUd1xOzY9SZ5qvkcb.jpeg,"Cuádriceps, Glúteos",EJ056,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Step-Up Alto (en silla)&prevReps=&prevKgs=,,
Wall Sit (sentadilla en pared),Semilla,Muro,Apoya la espalda contra la pared y baja hasta que tus muslos queden paralelos al suelo formando 90 grados con las rodillas. Mantén la posición.,Empuja la espalda baja contra la pared. No apoyes las manos en los muslos.,3 series de 30-45 seg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/ds0me1SEuTHCIX0gyiyZ.jpeg,"Cuádriceps, Glúteos",EJ057,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Wall Sit (sentadilla en pared)&prevReps=&prevKgs=,,
Wall Sit con Una Pierna,Pino,Muro,Apoya la espalda contra la pared en posición de sentadilla a 90 grados. Levanta un pie del suelo y mantén la posición solo con una pierna.,Aprieta el cuádriceps con fuerza. Si es muy difícil empieza con ángulo mayor a 90 grados.,4 series de 15-25 seg por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/4DCuXU1A6Uhpa3G4FyVe.jpeg,"Cuádriceps, Glúteos, Core",EJ058,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Wall Sit con Una Pierna&prevReps=&prevKgs=,,
Zancada Búlgara con Pausa,Pino,Silla o superficie elevada,Igual que la sentadilla búlgara pero mantén la posición baja durante 3 segundos antes de subir. El pie trasero apoyado en la silla.,La pausa elimina el impulso y obliga al músculo a trabajar más. Mantén la tensión constante.,4 series de 6-8 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Hiv9QyFmVVwi9NmHWsPM.png,"Cuádriceps, Glúteos, Isquiotibiales",EJ059,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Zancada Búlgara con Pausa&prevReps=&prevKgs=,,
Zancada Caminando,Semilla,N/A,Da un paso largo al frente y baja la rodilla trasera casi al suelo. Empuja con la pierna delantera y avanza con la otra pierna repitiendo el movimiento.,Mantén el torso recto y la mirada al frente. Cada paso debe ser controlado sin perder el equilibrio.,3 series de 10 pasos por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/oPNPPGHW212LLb51hCsH.jpeg,"Cuádriceps, Glúteos, Isquiotibiales",EJ060,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Zancada Caminando&prevReps=&prevKgs=,,
Zancada Lateral,Semilla,N/A,De pie con los pies juntos. Da un paso amplio hacia un lado flexionando esa rodilla mientras la otra pierna queda extendida. Empuja para regresar al centro.,Mantén el peso en el talón de la pierna que se flexiona. No dejes que la rodilla pase la punta del pie.,3 series de 10 reps por lado,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/YTH1k9tnuYl35OtlMXPb.jpeg,"Aductores, Cuádriceps, Glúteos",EJ061,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Zancada Lateral&prevReps=&prevKgs=,,
Zancada Reversa,Semilla,N/A,De pie con los pies juntos. Da un paso largo hacia atrás con una pierna y baja la rodilla trasera casi hasta el suelo. Empuja con la pierna delantera para volver a la posición inicial.,Mantén el torso erguido y la rodilla delantera alineada con el tobillo. No dejes que la rodilla pase la punta del pie.,3 series de 10 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/SAd3jX1AsLMNaw5AKc7c.jpeg,"Cuádriceps, Glúteos, Isquiotibiales",EJ062,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Zancada Reversa&prevReps=10-10-10&prevKgs=0-0-0,10-10-10,0-0-0
Zancada con Salto Alternada,Pino,N/A,En posición de zancada baja salta explosivamente intercambiando las piernas en el aire. Aterriza suave en posición de zancada con la otra pierna al frente.,Aterriza con control. Usa los brazos para impulsar el salto. Mantén el torso erguido.,4 series de 8 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Ac2vF84rN1HkGH8MXCBW.jpeg,"Cuádriceps, Glúteos, Pantorrillas",EJ063,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Zancada con Salto Alternada&prevReps=&prevKgs=,,
Press de Banca con Barra,Semilla Gym,Banco plano + Barra,Acuestate en el banco plano con los pies firmes en el suelo. Agarra la barra a la anchura de los hombros. Baja la barra hasta tocar el pecho y empuja hacia arriba hasta extender los brazos.,"Retrae las escapulas y saca pecho antes de
  desenganchar la barra. No rebotes en el pecho.",4 series de 8-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Trawl8b2uryITKM368J9.png,"Pectorales, Tricceps, Deltoides frontal",EJ064,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Press de Banca con Barra&prevReps=&prevKgs=,,
Remo con Mancuerna,Semilla Gym,Banco plano + Mancuerna,"Apoya una rodilla y una mano en el banco. Con la otra mano sujeta la
  mancuerna y tira hacia la cadera llevando el codo hacia atras. Baja con
  control.",Aprieta la espalda arriba durante 1 segundo. No gires el torso al tirar.,4 series de 10-12 reps por lado,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/ttPtUdpRROc3Gt1UzxMr.png,"Dorsales, Romboides, Bicceps",EJ065,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Remo con Mancuerna&prevReps=&prevKgs=,,
Press Militar con Mancuernas,Semilla Gym,Banco a 90° + Mancuernas,"Sientate en el banco con respaldo vertical. Sube las mancuernas a la
  altura de los hombros con las palmas al frente. Empuja hacia arriba hasta
  extender los brazos y baja con control.","No arquees la espalda baja. Aprieta el abdomen durante todo el
  movimiento.",4 series de 8-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Fq6DTDSWO938lxORjanZ.png,"Deltoides, Triceps, Trapecio",EJ066,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Press Militar con Mancuernas&prevReps=&prevKgs=,,
Curl de Biceps con Mancuernas,Semilla Gym,Mancuernas,"De pie con una mancuerna en cada mano y los brazos extendidos. Flexiona
  los codos subiendo las mancuernas hacia los hombros. Baja con control sin
  balancear el cuerpo.",Manten los codos pegados al torso. No uses impulso con la espalda.,3 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Vu88Xu62clVUEOMWXAbx.png,Biceps,EJ067,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Curl de Biceps con Mancuernas&prevReps=&prevKgs=,,
Extensión de Triceps en Polea,Semilla Gym,Polea alta + Barra recta,De pie frente a la polea alta. Sujeta la barra con las palmas hacia abajo. Extiende los brazos empujando hacia abajo hasta bloquear los codos. Regresa con control.,Manten los codos pegados al cuerpo y fijos. Solo mueve los antebrazos.,3 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/ltwfttHR0Pzvp50b1es4.png,Triceps,EJ068,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Extensión de Triceps en Polea&prevReps=&prevKgs=,,
Press Inclinado con Mancuernas,Semilla Gym,Banco inclinado 30-45° + Mancuernas,"Acuestate en el banco inclinado. Sube las mancuernas a la altura del
  pecho con los codos abiertos. Empuja hacia arriba juntando ligeramente las
  mancuernas arriba. Baja con control.","Manten las escapulas retraidas. El angulo de 30° activa mas pecho
  superior sin sobrecargar el hombro.",4 series de 8-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/TISKcz8i6nSSO7b9TmGe.jpeg,"Pecho superior, Triceps, Deltoides frontal",EJ069,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Press Inclinado con Mancuernas&prevReps=&prevKgs=,,
Jalón al Pecho en Polea,Semilla Gym,Polea alta + Barra ancha,"Sientate en la maquina de jalón con los muslos fijos bajo los cojines.
  Agarra la barra ancha con las palmas al frente. Tira hacia el pecho superior
  llevando los codos hacia abajo y atras.","Saca pecho al tirar. No te inclines demasiado hacia atras. Controla el
  regreso.",4 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/7qi78Q6MHMZ48yq9LpRP.jpeg,"Dorsales, Biceps, Romboides",EJ070,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Jalón al Pecho en Polea&prevReps=&prevKgs=,,
Elevaciones Laterales con Mancuernas,Semilla Gym,Mancuernas,"De pie con una mancuerna en cada mano a los lados. Sube los brazos
  lateralmente hasta la altura de los hombros manteniendo una ligera flexion de
  codos. Baja con control.","Usa peso ligero y control. Imagina que viertes agua de una jarra al
  subir.",3 series de 12-15 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/9Km4IXWuNy4RUXzlLX29.jpeg,Deltoides lateral,EJ071,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Elevaciones Laterales con Mancuernas&prevReps=&prevKgs=,,
Curl Martillo con Mancuernas,Semilla Gym,Mancuernas,"De pie con mancuernas a los lados y palmas viendose entre si (agarre
  neutro). Flexiona los codos subiendo las mancuernas sin girar las muñecas.
  Baja con control.","Manten los codos fijos. Este agarre trabaja mas el braquial y el
  antebrazo.",3 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/XuDLAVeYL2Z4ZmodK6Kq.jpeg,"Biceps, Braquial, Antebrazo",EJ072,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Curl Martillo con Mancuernas&prevReps=&prevKgs=,,
Fondos en Maquina Asistida,Semilla Gym,Maquina de fondos asistidos,"Sube a la maquina y apoya las rodillas en la plataforma. Sujeta las
  barras y baja el cuerpo doblando los codos hasta 90 grados. Empuja para
  subir.","Ajusta el contrapeso segun tu nivel. Conforme ganes fuerza reduce la
  asistencia.",3 series de 8-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/GBZ3DeHZzmb0DfY56p32.jpeg,"Triceps, Pecho inferior, Deltoides",EJ073,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Fondos en Maquina Asistida&prevReps=&prevKgs=,,
Press de Banca con Mancuernas,Semilla Gym,Banco plano + Mancuernas,"Acuestate en el banco con una mancuerna en cada mano a la altura del
  pecho. Empuja hacia arriba extendiendo los brazos y baja con control hasta
  que los codos queden a 90 grados.","Las mancuernas permiten mayor rango de movimiento que la barra. Baja
  hasta sentir estiramiento en el pecho.",4 series de 8-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/8sArvMZHBIuYotwCq67l.jpeg,"Pectorales, Triceps, Deltoides frontal",EJ074,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Press de Banca con Mancuernas&prevReps=&prevKgs=,,
Remo en Maquina,Semilla Gym,Maquina de remo sentado,"Sientate en la maquina con el pecho apoyado en el coji­n. Agarra las
  manijas y tira hacia atras apretando los omoplatos. Regresa con control.","Saca pecho y manten la espalda erguida. Aprieta la espalda 1 segundo al
  final.",4 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Ibyeg3ac2QWMoZMH3Axe.jpeg,"Dorsales, Romboides, Biceps",EJ075,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Remo en Maquina&prevReps=&prevKgs=,,
Press Arnold con Mancuernas,Semilla Gym,Banco a 90° + Mancuernas,"Sientate con las mancuernas frente al pecho y las palmas hacia ti. Empuja
  hacia arriba girando las palmas hacia afuera durante la subida. Regresa
  invirtiendo el giro.","El giro activa las tres cabezas del deltoides. Usa peso moderado para
  controlar el movimiento.",3 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/XiPekGBBQIBvzeMHtwQO.jpeg,"Deltoides (anterior, lateral, posterior)",EJ076,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Press Arnold con Mancuernas&prevReps=&prevKgs=,,
Curl con Barra Z,Semilla Gym,Barra Z,"De pie sujeta la barra Z con agarre supino en las curvas de la barra.
  Flexiona los codos subiendo la barra hacia los hombros. Baja con control.",La barra Z reduce la tensión en las muñecas. No balancees el cuerpo.,3 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/KoYIfCRcecHK1d9RSua1.jpeg,"Biceps, Antebrazo",EJ077,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Curl con Barra Z&prevReps=&prevKgs=,,
Press Frances con Mancuerna,Semilla Gym,Banco plano + Mancuerna,"Acuestate en el banco con una mancuerna sujeta con ambas manos sobre la
  cabeza. Baja la mancuerna detras de la cabeza flexionando los codos. Extiende
  para subir.",Manten los codos apuntando al techo y fijos. Solo mueve los antebrazos.,3 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/eS5OapRQ0wFokAvLYVnO.jpeg,Triceps,EJ078,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Press Frances con Mancuerna&prevReps=&prevKgs=,,
Sentadilla con Barra,Semilla Gym,Rack + Barra,"Coloca la barra sobre los trapecios. Pies a la anchura de los hombros.
  Baja flexionando rodillas y cadera como si te sentaras. Manten la espalda
  recta y sube empujando con los talones.","Mira al frente. Las rodillas van en dirección a los pies. Baja al menos
  hasta paralelo.",4 series de 8-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/IGxAEnDNnQqzxAfnfbE0.png,"Cuadriceps, Glueos, Isquiotibiales",EJ079,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla con Barra&prevReps=&prevKgs=,,
Prensa de Piernas,Semilla Gym,Maquina prensa de piernas,"Sientate en la maquina con los pies en la plataforma a la anchura de los
hombros. Suelta los seguros y baja la plataforma flexionando las rodillas
hasta 90 grados. Empuja para subir.","No bloquees completamente las rodillas arriba. Manten la espalda baja
  pegada al respaldo.",4 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/A2nY5wEmCfj2Z5tV6jui.png,"Cuadriceps, Gluteos",EJ080,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Prensa de Piernas&prevReps=&prevKgs=,,
Curl Femoral en Maquina,Semilla Gym,Maquina curl femoral acostado,Acuestate boca abajo en la maquina con los tobillos bajo el cojin. Flexiona las rodillas llevando los talones hacia los gluteos. Baja con control.,"No levantes la cadera del banco. Aprieta los isquiotibiales arriba 1
  segundo.",4 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/XhhfRFCraO8Mspyn3Bg5.png,Isquiotibiales,EJ081,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Curl Femoral en Maquina&prevReps=&prevKgs=,,
Extensión de Cuadriceps en Maquina,Semilla Gym,Maquina extensión de cuadriceps,Sientate en la maquina con los tobillos bajo el coji­n. Extiende las rodillas subiendo el peso hasta que las piernas queden rectas. Baja con control.,"No uses impulso. Aprieta los cuadriceps arriba 1 segundo. Baja lento (3
  segundos).",3 series de 12-15 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/b3kKBSwlq5zrGbLOoV1J.png,Cuadriceps,EJ082,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Extensión de Cuadriceps en Maquina&prevReps=&prevKgs=,,
Elevación de Talones con Barra,Semilla Gym,Rack + Barra,Coloca la barra sobre los trapecios como en sentadilla. Sube los talones apretando las pantorrillas. Baja con control hasta estirar completamente.,"Haz pausa de 2 segundos arriba. Puedes poner un disco bajo los pies para
  mayor rango.",4 series de 15-20 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/RJzlfghWArUedpChrlbu.png,Pantorrillas (Gemelos y Soleo),EJ083,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Elevación de Talones con Barra&prevReps=&prevKgs=,,
Peso Muerto Rumano con Barra,Semilla Gym,Barra,"De pie con la barra frente a los muslos y agarre a la anchura de los
  hombros. Inclina el torso hacia adelante con rodillas ligeramente
  flexionadas. Baja la barra por las piernas hasta sentir estiramiento en
  isquiotibiales. Sube apretando gluteos.","Manten la barra pegada a las piernas. La espalda siempre recta. No
  redondees.",4 series de 8-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/3B7qhCt5M4W3t6uAuJj5.jpeg,"Isquiotibiales, Gluteos, Espalda baja",EJ084,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Peso Muerto Rumano con Barra&prevReps=&prevKgs=,,
Zancada con Mancuernas,Semilla Gym,Mancuernas,"De pie con una mancuerna en cada mano. Da un paso al frente y baja la
  rodilla trasera casi al suelo. Empuja con la pierna delantera para volver a
  la posición inicial.","Manten el torso erguido. La rodilla delantera no debe pasar la punta del
  pie.",4 series de 10 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/MKtAeuTpnf6zvNzWtZlT.jpeg,"Cuadriceps, Gluteos, Isquiotibiales",EJ085,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Zancada con Mancuernas&prevReps=&prevKgs=,,
Hip Thrust con Barra,Semilla Gym,Banco + Barra + Pad,"Sientate en el suelo con la espalda alta apoyada en un banco. Coloca la
  barra con pad sobre la cadera. Empuja la cadera hacia arriba apretando los
  gluteos. Baja con control.","Aprieta los gluteos arriba 2 segundos. La barbilla al pecho para no
  hiperextender.",4 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/DoPd1LTzlprl1sCi9slI.jpeg,"Gluteos, Isquiotibiales",EJ086,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Hip Thrust con Barra&prevReps=&prevKgs=,,
Sentadilla Goblet con Mancuerna,Semilla Gym,Mancuerna,"De pie sujeta una mancuerna vertical contra el pecho con ambas manos.
  Baja en sentadilla profunda manteniendo el torso erguido. Sube empujando con
  los talones.","Los codos deben pasar por dentro de las rodillas. Excelente para aprender
  la tecnica de sentadilla.",3 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/l4R7TJK4Pla11fG4RB7C.jpeg,"Cuadriceps, Gluteos",EJ087,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Goblet con Mancuerna&prevReps=&prevKgs=,,
Elevación de Talones en Prensa,Semilla Gym,Maquina prensa de piernas,"Sientate en la prensa con solo las puntas de los pies en la plataforma.
  Empuja extendiendo los tobillos (puntillas) y regresa con control.",No bloquees las rodillas. Haz el rango completo estirando bien abajo.,4 series de 15-20 reps,video,Pantorrillas (Gemelos y Soleo),EJ088,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Elevación de Talones en Prensa&prevReps=&prevKgs=,,
