exercise_id,slug,nombre interno,nombre público actual,nombre público recomendado,estado,Sistema al que pertenece,Ruta o Rutas,Madera o punto de partida,modalidad,patrón de movimiento,objetivo,grupo muscular,equipo,espacio requerido,posición inicial,ejecución paso a paso,indicaciones técnicas,respiración,errores comunes,regresiones,progresiones,repeticiones,series,tiempo,descanso,tempo,duración estimada,criterios de finalización,advertencias,contraindicaciones,activo visual asociado,video asociado,miniatura asociada,pantalla donde aparece,componente donde aparece,archivo fuente,datos faltantes,contradicciones,estado visual
EJ046,sentadilla-búlgara,Sentadilla Búlgara,Sentadilla Búlgara,Sentadilla Búlgara,pendiente,,,,,,,"Cuádriceps, Glúteos, Isquiotibiales",Silla o superficie elevada,,,Coloca el empeine de un pie sobre una silla detrás de ti. Baja flexionando la rodilla delantera hasta que el muslo quede paralelo al suelo. Sube con fuerza.,Mantén el torso erguido. Puedes inclinar ligeramente el torso para más activación de glúteo.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/VlWpuoRi8pVUkgernE25.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ047,sentadilla-búlgara-asistida,Sentadilla Búlgara Asistida,Sentadilla Búlgara Asistida,Sentadilla Búlgara Asistida,pendiente,,,,,,,"Cuádriceps, Glúteos",Silla o superficie elevada,,,Coloca el empeine de un pie sobre una silla detrás de ti. Baja flexionando la rodilla delantera hasta que el muslo quede paralelo al suelo. Apóyate en la pared si necesitas equilibrio.,Mantén el torso erguido y la rodilla delantera alineada con el pie. La pierna trasera solo sirve de apoyo.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/ibt41CsDINyfHlkyDFGb.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ048,sentadilla-cosaca,Sentadilla Cosaca,Sentadilla Cosaca,Sentadilla Cosaca,pendiente,,,,,,,"Aductores, Cuádriceps, Glúteos",N/A,,,Pies muy abiertos. Baja hacia un lado flexionando una rodilla mientras la otra pierna se extiende recta con el pie apuntando arriba. Sube y alterna.,Mantén el talón pegado al suelo y el torso erguido. Si puedes baja hasta que el glúteo toque el talón.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/g4jWpM2c386PH9Kryit6.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ049,sentadilla-cosaca-asistida,Sentadilla Cosaca Asistida,Sentadilla Cosaca Asistida,Sentadilla Cosaca Asistida,pendiente,,,,,,,"Aductores, Cuádriceps, Glúteos",Muro o poste para sujetarse,,,Pies muy abiertos. Baja hacia un lado flexionando una rodilla mientras la otra pierna se extiende recta. Sujétate de la pared o un poste para mantener el equilibrio.,Mantén el talón de la pierna que se flexiona pegado al suelo. Ve bajando más conforme ganes flexibilidad.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/a75HdvxFmHjAVEAUStxP.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ050,sentadilla-normal,Sentadilla Normal,Sentadilla Normal,Sentadilla Normal,pendiente,,,,,,,Piernas (Cuádriceps) y Glúteos,N/A,,,"Pies a la anchura de los hombros. Baja la cadera como si fueras a sentarte en una silla, manteniendo la espalda recta y el peso en los talones. Sube con fuerza.",Mantén la mirada al frente y asegúrate de que tus rodillas no se cierren hacia adentro al subir y vayan en direncion a tus pies,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/WQb6lN9Qd7zdHTa521H7.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ053,sentadilla-con-pausa,Sentadilla con Pausa,Sentadilla con Pausa,Sentadilla con Pausa,pendiente,,,,,,,"Cuádriceps, Glúteos",N/A,,,Realiza una sentadilla normal pero mantén la posición baja durante 3 segundos antes de subir. Mantén la espalda recta y el abdomen apretado.,La pausa elimina el impulso y obliga al músculo a trabajar más. No rebotes al subir.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/0Fr9RjYH7tjH7OcQXb3r.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ054,sentadilla-con-salto,Sentadilla con Salto,Sentadilla con Salto,Sentadilla con Salto,pendiente,,,,,,,"Cuádriceps, Glúteos, Pantorrillas",N/A,,,Realiza una sentadilla normal y al subir explota saltando lo más alto posible. Aterriza suave con las rodillas ligeramente flexionadas y repite.,Aterriza siempre con la punta de los pies primero y luego los talones. Amortigua bien cada salto.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/vlY5EaFW7HAEEJtPSuKr.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ059,zancada-búlgara-con-pausa,Zancada Búlgara con Pausa,Zancada Búlgara con Pausa,Zancada Búlgara con Pausa,pendiente,,,,,,,"Cuádriceps, Glúteos, Isquiotibiales",Silla o superficie elevada,,,Igual que la sentadilla búlgara pero mantén la posición baja durante 3 segundos antes de subir. El pie trasero apoyado en la silla.,La pausa elimina el impulso y obliga al músculo a trabajar más. Mantén la tensión constante.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Hiv9QyFmVVwi9NmHWsPM.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ060,zancada-caminando,Zancada Caminando,Zancada Caminando,Zancada Caminando,pendiente,,,,,,,"Cuádriceps, Glúteos, Isquiotibiales",N/A,,,Da un paso largo al frente y baja la rodilla trasera casi al suelo. Empuja con la pierna delantera y avanza con la otra pierna repitiendo el movimiento.,Mantén el torso recto y la mirada al frente. Cada paso debe ser controlado sin perder el equilibrio.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/oPNPPGHW212LLb51hCsH.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ061,zancada-lateral,Zancada Lateral,Zancada Lateral,Zancada Lateral,pendiente,,,,,,,"Aductores, Cuádriceps, Glúteos",N/A,,,De pie con los pies juntos. Da un paso amplio hacia un lado flexionando esa rodilla mientras la otra pierna queda extendida. Empuja para regresar al centro.,Mantén el peso en el talón de la pierna que se flexiona. No dejes que la rodilla pase la punta del pie.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/YTH1k9tnuYl35OtlMXPb.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ062,zancada-reversa,Zancada Reversa,Zancada Reversa,Zancada Reversa,pendiente,,,,,,,"Cuádriceps, Glúteos, Isquiotibiales",N/A,,,De pie con los pies juntos. Da un paso largo hacia atrás con una pierna y baja la rodilla trasera casi hasta el suelo. Empuja con la pierna delantera para volver a la posición inicial.,Mantén el torso erguido y la rodilla delantera alineada con el tobillo. No dejes que la rodilla pase la punta del pie.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/SAd3jX1AsLMNaw5AKc7c.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ063,zancada-con-salto-alternada,Zancada con Salto Alternada,Zancada con Salto Alternada,Zancada con Salto Alternada,pendiente,,,,,,,"Cuádriceps, Glúteos, Pantorrillas",N/A,,,En posición de zancada baja salta explosivamente intercambiando las piernas en el aire. Aterriza suave en posición de zancada con la otra pierna al frente.,Aterriza con control. Usa los brazos para impulsar el salto. Mantén el torso erguido.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Ac2vF84rN1HkGH8MXCBW.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ064,press-de-banca-con-barra,Press de Banca con Barra,Press de Banca con Barra,Press de Banca con Barra,pendiente,,,,,,,"Pectorales, Tricceps, Deltoides frontal",Banco plano + Barra,,,Acuestate en el banco plano con los pies firmes en el suelo. Agarra la barra a la anchura de los hombros. Baja la barra hasta tocar el pecho y empuja hacia arriba hasta extender los brazos.,"Retrae las escapulas y saca pecho antes de
  desenganchar la barra. No rebotes en el pecho.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Trawl8b2uryITKM368J9.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ065,remo-con-mancuerna,Remo con Mancuerna,Remo con Mancuerna,Remo con Mancuerna,pendiente,,,,,,,"Dorsales, Romboides, Bicceps",Banco plano + Mancuerna,,,"Apoya una rodilla y una mano en el banco. Con la otra mano sujeta la
  mancuerna y tira hacia la cadera llevando el codo hacia atras. Baja con
  control.",Aprieta la espalda arriba durante 1 segundo. No gires el torso al tirar.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/ttPtUdpRROc3Gt1UzxMr.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ066,press-militar-con-mancuernas,Press Militar con Mancuernas,Press Militar con Mancuernas,Press Militar con Mancuernas,pendiente,,,,,,,"Deltoides, Triceps, Trapecio",Banco a 90° + Mancuernas,,,"Sientate en el banco con respaldo vertical. Sube las mancuernas a la
  altura de los hombros con las palmas al frente. Empuja hacia arriba hasta
  extender los brazos y baja con control.","No arquees la espalda baja. Aprieta el abdomen durante todo el
  movimiento.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Fq6DTDSWO938lxORjanZ.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ052,sentadilla-sumo,Sentadilla Sumo,Sentadilla Sumo,Sentadilla Sumo,pendiente,,,,,,,"Aductores, Glúteos, Cuádriceps",N/A,,,Pies más abiertos que los hombros con las puntas hacia afuera. Baja la cadera manteniendo la espalda recta y las rodillas en dirección a los pies. Sube apretando glúteos.,Saca pecho y mantén el peso distribuido en toda la planta del pie. Baja hasta que los muslos queden paralelos al suelo.,,,,,,,,,,,,,,https://rhxseahupujjqhcrthpf.supabase.co/storage/v1/object/public/imagenes/ejercicios/EJ052_1784834685087.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ051,sentadilla-sissy-asistida,Sentadilla Sissy Asistida,Sentadilla Sissy Asistida,Sentadilla Sissy Asistida,pendiente,,,,,,,"Cuádriceps, Recto femoral",Muro o poste para sujetarse,,,De pie sujetándote de la pared. Inclínate hacia atrás flexionando las rodillas mientras te pones de puntillas. Baja las rodillas hacia adelante y sube con control.,Mantén la cadera extendida (no te sientes). Siente el estiramiento profundo en los cuádriceps.,,,,,,,,,,,,,,https://rhxseahupujjqhcrthpf.supabase.co/storage/v1/object/public/imagenes/ejercicios/EJ051_1784834732481.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ055,step-up-(en-silla-baja),Step-Up (en silla baja),Step-Up (en silla baja),Step-Up (en silla baja),pendiente,,,,,,,"Cuádriceps, Glúteos",Silla baja o escalón,,,Coloca un pie sobre la silla y empuja con esa pierna para subir todo el cuerpo. Baja con control con la otra pierna.,Empuja solo con la pierna de arriba sin impulsarte con la de abajo. Mantén el torso erguido.,,,,,,,,,,,,,,https://rhxseahupujjqhcrthpf.supabase.co/storage/v1/object/public/imagenes/ejercicios/EJ055_1784834991412.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ056,step-up-alto-(en-silla),Step-Up Alto (en silla),Step-Up Alto (en silla),Step-Up Alto (en silla),pendiente,,,,,,,"Cuádriceps, Glúteos",Silla firme,,,Coloca un pie sobre una silla firme y alta. Empuja con esa pierna para subir todo el cuerpo sin impulsarte con la pierna de abajo. Baja con control.,La silla debe ser estable. Empuja solo con la pierna de arriba. Mantén el torso recto.,,,,,,,,,,,,,,https://rhxseahupujjqhcrthpf.supabase.co/storage/v1/object/public/imagenes/ejercicios/EJ056_1784835211747.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ058,wall-sit-con-una-pierna,Wall Sit con Una Pierna,Wall Sit con Una Pierna,Wall Sit con Una Pierna,pendiente,,,,,,,"Cuádriceps, Glúteos, Core",Muro,,,Apoya la espalda contra la pared en posición de sentadilla a 90 grados. Levanta un pie del suelo y mantén la posición solo con una pierna.,Aprieta el cuádriceps con fuerza. Si es muy difícil empieza con ángulo mayor a 90 grados.,,,,,,,,,,,,,,https://rhxseahupujjqhcrthpf.supabase.co/storage/v1/object/public/imagenes/ejercicios/EJ058_1784835283548.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ057,wall-sit-(sentadilla-en-pared),Wall Sit (sentadilla en pared),Wall Sit (sentadilla en pared),Wall Sit (sentadilla en pared),pendiente,,,,,,,"Cuádriceps, Glúteos",Muro,,,Apoya la espalda contra la pared y baja hasta que tus muslos queden paralelos al suelo formando 90 grados con las rodillas. Mantén la posición.,Empuja la espalda baja contra la pared. No apoyes las manos en los muslos.,,,,,,,,,,,,,,https://rhxseahupujjqhcrthpf.supabase.co/storage/v1/object/public/imagenes/ejercicios/EJ057_1784835317839.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ068,extensión-de-triceps-en-polea,Extensión de Triceps en Polea,Extensión de Triceps en Polea,Extensión de Triceps en Polea,pendiente,,,,,,,Triceps,Polea alta + Barra recta,,,De pie frente a la polea alta. Sujeta la barra con las palmas hacia abajo. Extiende los brazos empujando hacia abajo hasta bloquear los codos. Regresa con control.,Manten los codos pegados al cuerpo y fijos. Solo mueve los antebrazos.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/ltwfttHR0Pzvp50b1es4.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ069,press-inclinado-con-mancuernas,Press Inclinado con Mancuernas,Press Inclinado con Mancuernas,Press Inclinado con Mancuernas,pendiente,,,,,,,"Pecho superior, Triceps, Deltoides frontal",Banco inclinado 30-45° + Mancuernas,,,"Acuestate en el banco inclinado. Sube las mancuernas a la altura del
  pecho con los codos abiertos. Empuja hacia arriba juntando ligeramente las
  mancuernas arriba. Baja con control.","Manten las escapulas retraidas. El angulo de 30° activa mas pecho
  superior sin sobrecargar el hombro.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/TISKcz8i6nSSO7b9TmGe.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ070,jalón-al-pecho-en-polea,Jalón al Pecho en Polea,Jalón al Pecho en Polea,Jalón al Pecho en Polea,pendiente,,,,,,,"Dorsales, Biceps, Romboides",Polea alta + Barra ancha,,,"Sientate en la maquina de jalón con los muslos fijos bajo los cojines.
  Agarra la barra ancha con las palmas al frente. Tira hacia el pecho superior
  llevando los codos hacia abajo y atras.","Saca pecho al tirar. No te inclines demasiado hacia atras. Controla el
  regreso.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/7qi78Q6MHMZ48yq9LpRP.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ071,elevaciones-laterales-con-mancuernas,Elevaciones Laterales con Mancuernas,Elevaciones Laterales con Mancuernas,Elevaciones Laterales con Mancuernas,pendiente,,,,,,,Deltoides lateral,Mancuernas,,,"De pie con una mancuerna en cada mano a los lados. Sube los brazos
  lateralmente hasta la altura de los hombros manteniendo una ligera flexion de
  codos. Baja con control.","Usa peso ligero y control. Imagina que viertes agua de una jarra al
  subir.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/9Km4IXWuNy4RUXzlLX29.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ073,fondos-en-maquina-asistida,Fondos en Maquina Asistida,Fondos en Maquina Asistida,Fondos en Maquina Asistida,pendiente,,,,,,,"Triceps, Pecho inferior, Deltoides",Maquina de fondos asistidos,,,"Sube a la maquina y apoya las rodillas en la plataforma. Sujeta las
  barras y baja el cuerpo doblando los codos hasta 90 grados. Empuja para
  subir.","Ajusta el contrapeso segun tu nivel. Conforme ganes fuerza reduce la
  asistencia.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/GBZ3DeHZzmb0DfY56p32.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ074,press-de-banca-con-mancuernas,Press de Banca con Mancuernas,Press de Banca con Mancuernas,Press de Banca con Mancuernas,pendiente,,,,,,,"Pectorales, Triceps, Deltoides frontal",Banco plano + Mancuernas,,,"Acuestate en el banco con una mancuerna en cada mano a la altura del
  pecho. Empuja hacia arriba extendiendo los brazos y baja con control hasta
  que los codos queden a 90 grados.","Las mancuernas permiten mayor rango de movimiento que la barra. Baja
  hasta sentir estiramiento en el pecho.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/8sArvMZHBIuYotwCq67l.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ075,remo-en-maquina,Remo en Maquina,Remo en Maquina,Remo en Maquina,pendiente,,,,,,,"Dorsales, Romboides, Biceps",Maquina de remo sentado,,,"Sientate en la maquina con el pecho apoyado en el coji­n. Agarra las
  manijas y tira hacia atras apretando los omoplatos. Regresa con control.","Saca pecho y manten la espalda erguida. Aprieta la espalda 1 segundo al
  final.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Ibyeg3ac2QWMoZMH3Axe.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ076,press-arnold-con-mancuernas,Press Arnold con Mancuernas,Press Arnold con Mancuernas,Press Arnold con Mancuernas,pendiente,,,,,,,"Deltoides (anterior, lateral, posterior)",Banco a 90° + Mancuernas,,,"Sientate con las mancuernas frente al pecho y las palmas hacia ti. Empuja
  hacia arriba girando las palmas hacia afuera durante la subida. Regresa
  invirtiendo el giro.","El giro activa las tres cabezas del deltoides. Usa peso moderado para
  controlar el movimiento.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/XiPekGBBQIBvzeMHtwQO.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ078,press-frances-con-mancuerna,Press Frances con Mancuerna,Press Frances con Mancuerna,Press Frances con Mancuerna,pendiente,,,,,,,Triceps,Banco plano + Mancuerna,,,"Acuestate en el banco con una mancuerna sujeta con ambas manos sobre la
  cabeza. Baja la mancuerna detras de la cabeza flexionando los codos. Extiende
  para subir.",Manten los codos apuntando al techo y fijos. Solo mueve los antebrazos.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/eS5OapRQ0wFokAvLYVnO.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ079,sentadilla-con-barra,Sentadilla con Barra,Sentadilla con Barra,Sentadilla con Barra,pendiente,,,,,,,"Cuadriceps, Glueos, Isquiotibiales",Rack + Barra,,,"Coloca la barra sobre los trapecios. Pies a la anchura de los hombros.
  Baja flexionando rodillas y cadera como si te sentaras. Manten la espalda
  recta y sube empujando con los talones.","Mira al frente. Las rodillas van en dirección a los pies. Baja al menos
  hasta paralelo.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/IGxAEnDNnQqzxAfnfbE0.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ080,prensa-de-piernas,Prensa de Piernas,Prensa de Piernas,Prensa de Piernas,pendiente,,,,,,,"Cuadriceps, Gluteos",Maquina prensa de piernas,,,"Sientate en la maquina con los pies en la plataforma a la anchura de los
hombros. Suelta los seguros y baja la plataforma flexionando las rodillas
hasta 90 grados. Empuja para subir.","No bloquees completamente las rodillas arriba. Manten la espalda baja
  pegada al respaldo.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/A2nY5wEmCfj2Z5tV6jui.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ083,elevación-de-talones-con-barra,Elevación de Talones con Barra,Elevación de Talones con Barra,Elevación de Talones con Barra,pendiente,,,,,,,Pantorrillas (Gemelos y Soleo),Rack + Barra,,,Coloca la barra sobre los trapecios como en sentadilla. Sube los talones apretando las pantorrillas. Baja con control hasta estirar completamente.,"Haz pausa de 2 segundos arriba. Puedes poner un disco bajo los pies para
  mayor rango.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/RJzlfghWArUedpChrlbu.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ077,curl-con-barra-z,Curl con Barra Z,Curl con Barra Z,Curl con Barra Z,pendiente,,,,,,,"Biceps, Antebrazo",Barra Z,,,"De pie sujeta la barra Z con agarre supino en las curvas de la barra.
  Flexiona los codos subiendo la barra hacia los hombros. Baja con control.",La barra Z reduce la tensión en las muñecas. No balancees el cuerpo.,,,,,,,,,,,,,,https://rhxseahupujjqhcrthpf.supabase.co/storage/v1/object/public/imagenes/ejercicios/EJ077_1784831434370.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ102,curl-concentrado-con-mancuerna,Curl Concentrado con Mancuerna,Curl Concentrado con Mancuerna,Curl Concentrado con Mancuerna,pendiente,,,,,,,Biceps,Banco + Mancuerna,,,"Sientate en el banco con las piernas abiertas. Apoya el codo contra la
  parte interna del muslo. Flexiona el codo subiendo la mancuerna y baja lento.","El apoyo en el muslo aisla completamente el biceps. Aprieta arriba 1
  segundo.",,,,,,,,,,,,,,https://rhxseahupujjqhcrthpf.supabase.co/storage/v1/object/public/imagenes/ejercicios/EJ102_1784831539474.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ072,curl-martillo-con-mancuernas,Curl Martillo con Mancuernas,Curl Martillo con Mancuernas,Curl Martillo con Mancuernas,pendiente,,,,,,,"Biceps, Braquial, Antebrazo",Mancuernas,,,"De pie con mancuernas a los lados y palmas viendose entre si (agarre
  neutro). Flexiona los codos subiendo las mancuernas sin girar las muñecas.
  Baja con control.","Manten los codos fijos. Este agarre trabaja mas el braquial y el
  antebrazo.",,,,,,,,,,,,,,https://rhxseahupujjqhcrthpf.supabase.co/storage/v1/object/public/imagenes/ejercicios/EJ072_1784833948632.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ084,peso-muerto-rumano-con-barra,Peso Muerto Rumano con Barra,Peso Muerto Rumano con Barra,Peso Muerto Rumano con Barra,pendiente,,,,,,,"Isquiotibiales, Gluteos, Espalda baja",Barra,,,"De pie con la barra frente a los muslos y agarre a la anchura de los
  hombros. Inclina el torso hacia adelante con rodillas ligeramente
  flexionadas. Baja la barra por las piernas hasta sentir estiramiento en
  isquiotibiales. Sube apretando gluteos.","Manten la barra pegada a las piernas. La espalda siempre recta. No
  redondees.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/3B7qhCt5M4W3t6uAuJj5.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ085,zancada-con-mancuernas,Zancada con Mancuernas,Zancada con Mancuernas,Zancada con Mancuernas,pendiente,,,,,,,"Cuadriceps, Gluteos, Isquiotibiales",Mancuernas,,,"De pie con una mancuerna en cada mano. Da un paso al frente y baja la
  rodilla trasera casi al suelo. Empuja con la pierna delantera para volver a
  la posición inicial.","Manten el torso erguido. La rodilla delantera no debe pasar la punta del
  pie.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/MKtAeuTpnf6zvNzWtZlT.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ086,hip-thrust-con-barra,Hip Thrust con Barra,Hip Thrust con Barra,Hip Thrust con Barra,pendiente,,,,,,,"Gluteos, Isquiotibiales",Banco + Barra + Pad,,,"Sientate en el suelo con la espalda alta apoyada en un banco. Coloca la
  barra con pad sobre la cadera. Empuja la cadera hacia arriba apretando los
  gluteos. Baja con control.","Aprieta los gluteos arriba 2 segundos. La barbilla al pecho para no
  hiperextender.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/DoPd1LTzlprl1sCi9slI.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ087,sentadilla-goblet-con-mancuerna,Sentadilla Goblet con Mancuerna,Sentadilla Goblet con Mancuerna,Sentadilla Goblet con Mancuerna,pendiente,,,,,,,"Cuadriceps, Gluteos",Mancuerna,,,"De pie sujeta una mancuerna vertical contra el pecho con ambas manos.
  Baja en sentadilla profunda manteniendo el torso erguido. Sube empujando con
  los talones.","Los codos deben pasar por dentro de las rodillas. Excelente para aprender
  la tecnica de sentadilla.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/l4R7TJK4Pla11fG4RB7C.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ088,elevación-de-talones-en-prensa,Elevación de Talones en Prensa,Elevación de Talones en Prensa,Elevación de Talones en Prensa,pendiente,,,,,,,Pantorrillas (Gemelos y Soleo),Maquina prensa de piernas,,,"Sientate en la prensa con solo las puntas de los pies en la plataforma.
  Empuja extendiendo los tobillos (puntillas) y regresa con control.",No bloquees las rodillas. Haz el rango completo estirando bien abajo.,,,,,,,,,,,,,,video,,,,,Supabase: ejercicios_biblioteca,,,
EJ089,sentadilla-frontal-con-barra,Sentadilla Frontal con Barra,Sentadilla Frontal con Barra,Sentadilla Frontal con Barra,pendiente,,,,,,,"Cuadriceps, Core, Gluteos",Rack + Barra,,,"Coloca la barra sobre los deltoides frontales con los codos altos. Baja
  en sentadilla profunda manteniendo el torso lo mas vertical posible. Sube
  empujando con fuerza.","Los codos siempre altos para que la barra no ruede. Trabaja mÃ¡s los
  cuadriceps que la sentadilla trasera.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/pD9aYZ0qlPgsgZLY6OxS.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ094,press-de-banca-inclinado-con-barra,Press de Banca Inclinado con Barra,Press de Banca Inclinado con Barra,Press de Banca Inclinado con Barra,pendiente,,,,,,,"Pecho superior, Triceps, Deltoides frontal",Banco inclinado + Barra,,,Acuéstate en banco inclinado a 30-45Â. Agarra la barra a la anchura de los hombros. Baja al pecho superior y empuja hasta extender los brazos.,"Retrae las escapulas. El angulo de 30° es ideal para pecho superior sin
  cargar demasiado el hombro.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/xIX8OmOMgOjMmOhaLSVR.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
